Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Tên gọi nghề nghiệp
			3422		Huấn luyện viên, nhân viên hướng dẫn thể thao và làm việc trong lĩnh vực thể thao
				34221	Huấn luyện viên thể thao
				34222	Nhân viên hướng dẫn thể dục thẩm mỹ
				34223	Nhân viên hướng dẫn tập thể hình
				34224	Nhân viên làm việc trong lĩnh vực thể thao
				34229	Huấn luyện viên, nhân viên hướng dẫn thể thao và làm việc trong lĩnh vực thể thao khác
			3423	34230	Người hướng dẫn tập luyện và giải trí, người chỉ đạo chương trình
		343			Nhân viên về nghệ thuật, văn hóa và ẩm thực
			3431	34310	Nhiếp ảnh gia
			3432	34320	Nhà thiết kế và trang trí nội thất
			3433	34330	Kỹ thuật viên thư viện, viện bảo tàng và triển lãm
			3434	34340	Đầu bếp trưởng
			3439	34390	Nhân viên về nghệ thuật và văn hóa khác
	35				Kỹ thuật viên thông tin và truyền thông
		351			Kỹ thuật viên hỗ trợ người sử dụng và vận hành công nghệ thông tin và truyền thông
			3511	35110	Kỹ thuật viên vận hành công nghệ thông tin và truyền thông
			3512	35120	Kỹ thuật viên hỗ trợ người sử dụng công nghệ thông tin và truyền thông
			3513	35130	Kỹ thuật viên hệ thống và mạng máy tính
			3514	35140	Kỹ thuật viên web
		352			Kỹ thuật viên viễn thông và phát thanh truyền hình
			3521		Kỹ thuật viên truyền hình và nghe - nhìn
				35211	Kỹ thuật viên điều hành chương trình
				35212	Nhân viên điều khiển máy quay phim
				35213	Nhân viên điều khiển máy quay hình động/tivi
				35214	Nhân viên điều khiển thiết bị phòng thu phát thanh truyền hình
				35215	Nhân viên điều khiển thiết bị ghi âm
				35216	Nhân viên dựng phim
				35219	Các kỹ thuật viên phát thanh và nghe nhìn khác
			3522	35220	Kỹ thuật viên kỹ thuật viễn thông
	36				Giáo viên bậc trung
		361	3610	36100	Giáo viên tiểu học
		362	3620	36200	Giáo viên mầm non
		363	3630	36300	Giáo viên dạy các đối tượng bị khuyết tật
		364			Giáo viên khác
			3641	36410	Giáo viên sơ cấp
			3642	36420	Giáo viên đào tạo khác
4					Nhân viên trợ lý văn phòng
	41				Nhân viên tổng hợp và nhân viên làm các công việc bàn giấy
		411	4110		Nhân viên tổng hợp
				41101	Nhân viên văn phòng (gồm cả sắp xếp tài liệu và sao chụp)
				41102	Nhân viên nguồn nhân lực/tổ chức
				41109	Nhân viên hành chính khác
		412	4120	41200	Thư ký (tổng hợp)
		413			Nhân viên làm công việc bàn giấy
			4131	41310	Nhân viên đánh máy
			4132	41320	Nhân viên nhập dữ liệu
	42				Nhân viên dịch vụ khách hàng
		421			Nhân viên thu ngân, thu tiền và các nghề liên quan
			4211		Nhân viên giao dịch ngân hàng và các nghề liên quan
				42111	Nhân viên giao dịch ngân hàng
				42112	Nhân viên thu ngân dịch vụ bưu điện
				42113	Nhân viên đổi tiền
				42119	Nhân viên giao dịch và thu ngân khác
			4212	42120	Nhân viên chia bài trong sòng bạc và các nghề liên quan đến cờ bạc khác
			4213		Chủ hiệu cầm đồ và cho vay tiền
				42131	Chủ hiệu cầm đồ
				42132	Người cho vay tiền
			4214		Người thu nợ và các công việc liên quan
				42141	Người thu nợ
				42149	Người thu nợ khác và làm công việc có liên quan
		422			Nhân viên thông tin khách hàng
			4221	42210	Nhân viên và tư vấn viên du lịch
			4222	42220	Nhân viên trung tâm thông tin liên lạc
			4223	42230	Nhân viên vận hành tổng đài điện thoại
			4224	42240	Nhân viên lễ tân khách sạn
			4225	42250	Nhân viên hướng dẫn
			4226	42260	Lễ tân (tổng hợp)
			4227	42270	Phỏng vấn viên điều tra và nghiên cứu thị trường
			4229	42290	Nhân viên thông tin khách hàng chưa được phân vào đâu
	43				Nhân viên ghi chép số liệu và vật liệu
		431			Nhân viên làm công việc liên quan đến số liệu
			4311	43110	Nhân viên kế toán
			4312	43120	Nhân viên thống kê, tài chính và bảo hiểm
			4313	43130	Nhân viên kế toán tiền lương
		432			Nhân viên ghi chép nguyên vật liệu và vận chuyển
			4321	43210	Nhân viên ghi chép tồn kho
			4322	43220	Nhân viên sản xuất
			4323	43230	Nhân viên vận chuyển
	44	440			Nhân viên hỗ trợ văn phòng khác
			4401	44010	Nhân viên thư viện
			4402	44020	Nhân viên phân loại và vận chuyển thư
			4403	44030	Nhân viên đánh mã, đọc và sửa bản in thử
			4404	44040	Người ghi chép thuê và người làm các công việc có liên quan
			4405	44050	Nhân viên văn thư và phô tô
			4406	44060	Nhân viên tổ chức nhân sự
			4409	44090	Nhân viên hỗ trợ văn phòng khác chưa được phân vào đâu
5					Nhân viên dịch vụ và bán hàng
	51				Nhân viên dịch vụ cá nhân
		511			Nhân viên hướng dẫn, tổ chức khách du lịch
			5111	51110	Tiếp viên trên tàu hoặc máy bay
			5112	51120	Nhân viên phụ tàu xe
			5113		Nhân viên hướng dẫn du lịch
				51131	Nhân viên hướng dẫn khu thiên nhiên
				51132	Nhân viên hướng dẫn công viên chủ đề
				51139	Nhân viên hướng dẫn du lịch khác (như di tích lịch sử, bảo tàng)
		512	5120	51200	Đầu bếp
 		513			Bồi bàn và nhân viên pha chế
			5131		Bồi bàn
				51311	Tổ trưởng/Giám sát bồi bàn
				51312	Bồi bàn (trừ bồi bàn rượu)
				51313	Bồi bàn rượu
			5132	51320	Nhân viên pha chế
		514			Thợ làm đầu, nhân viên làm đẹp
			5141	51410	Thợ làm đầu
			5142	51420	Nhân viên làm đẹp và nhân viên có liên quan
		515			Người giám sát tòa nhà, quản gia
			5151	51510	Người giám sát việc dọn dẹp và vệ sinh trong văn phòng, khách sạn và các cơ quan khác
			5152	51520	Người quản lý công việc gia đình
			5153	51530	Người chăm sóc, bảo vệ tòa nhà
	 	516			Nhân viên dịch vụ cá nhân khác
			5161	51610	Nhà chiêm tinh, nhà tướng số và những người có liên quan đến tâm linh khác
			5162	51620	Người bồi phòng và những người được thuê để làm bầu bạn
			5163	51630	Người làm nghề phục vụ tang lễ và ướp xác
			5164	51640	Nhân viên chăm sóc và làm đẹp động vật
			5165	51650	Giáo viên hướng dẫn lái xe
			5169	51690	Nhân viên dịch vụ cá nhân khác chưa được phân vào đâu
	52				Nhân viên bán hàng
		521			Người bán hàng trên đường phố và tại chợ
			5211	52110	Người bán hàng trong quầy hàng và tại chợ
			5212	52120	Người bán đồ ăn trên đường phố
		522			Nhân viên bán hàng trong cửa hàng
			5221	52210	Chủ cửa hiệu
			5222	52220	Nhân viên giám sát cửa hàng
			5223	52230	Nhân viên trợ giúp bán hàng
		523	5230		Nhân viên thu ngân và bán vé
				52301	Nhân viên thu ngân và bán vé
				52302	Nhân viên thu ngân
				52309	Nhân viên thu ngân và bán vé có liên quan khác
		524			Nhân viên bán hàng khác
			5241	52410	Nhân viên làm mẫu
			5242	52420	Nhân viên thuyết minh giới thiệu hàng hóa
			5243	52430	Nhân viên bán hàng tận nhà
			5244	52440	Nhân viên bán hàng qua trung tâm liên lạc
			5245	52450	Nhân viên phục vụ ở các trạm dịch vụ
			5246	52460	Nhân viên phục vụ đồ ăn uống
			5249	52490	Nhân viên bán hàng khác chưa được phân vào đâu
	53				Nhân viên chăm sóc cá nhân
		531			Nhân viên chăm sóc trẻ em và người phụ tá cho giáo viên
			5311	53110	Nhân viên chăm sóc trẻ em
			5312	53120	Người phụ tá cho giáo viên
		532			Nhân viên chăm sóc cá nhân trong các dịch vụ y tế
			5321	53210	Nhân viên hỗ trợ về chăm sóc sức khỏe
			5322		Nhân viên chăm sóc cá nhân tại nhà
				53221	Nhân viên chăm sóc cá nhân (như vật lý trị liệu)
				53222	Điều dưỡng tại nhà
			5329	53290	Nhân viên chăm sóc cá nhân trong các dịch vụ y tế chưa được phân vào đâu
	54	540			Nhân viên dịch vụ bảo vệ
			5401	54010	Nhân viên an ninh (trừ công an)
			5409		Nhân viên dịch vụ bảo vệ khác chưa được phân vào đâu
				54091	Thám tử tư
				54092	Nhân viên bảo vệ rừng
				54099	Nhân viên dịch vụ bảo vệ khác còn lại chưa được phân vào đâu
6					Lao động có kỹ năng trong nông nghiệp, lâm nghiệp và thủy sản
	61				Lao động có kỹ năng trong nông nghiệp có sản phẩm chủ yếu để bán
		611			Lao động trồng trọt và làm vườn có sản phẩm chủ yếu để bán
			6111		Lao động trồng, thu hoạch rau và cây mùa vụ
				61111	Lao động trồng, thu hoạch lúa
				61112	Lao động trồng, thu hoạch rau các loại
				61119	Lao động trồng, thu hoạch cây mùa vụ khác
			6112		Lao động trồng, thu hoạch sản phẩm cây bụi và cây thân gỗ
				61121	Lao động trồng, thu hoạch sản phẩm cây cà phê
				61122	Lao động trồng, thu hoạch sản phẩm cây chè
				61123	Lao động trồng, thu hoạch sản phẩm cây tiêu
				61124	Lao động trồng, thu hoạch sản phẩm cây điều
				61125	Lao động trồng, thu hoạch sản phẩm cây cao su
				61129	Lao động trồng, thu hoạch sản phẩm cây bụi và cây thân gỗ khác
			6113		Lao động làm vườn, trồng vườn và vườn ươm
				61131	Lao động trồng, thu hoạch hoa, cây cảnh
				61139	Lao động làm vườn, trồng vườn và vườn ươm khác
			6114	61140	Lao động trồng trọt hỗn hợp
		612			Lao động chăn nuôi
			6121		Lao động chăn nuôi gia súc và vật nuôi lấy sữa
				61211	Lao động chăn nuôi trâu bò
				61212	Lao động chăn nuôi dê, cừu, hươu
				61213	Lao động chăn nuôi lợn
				61219	Lao động chăn nuôi gia súc khác
			6122		Lao động chăn nuôi gia cầm
				61221	Lao động chăn nuôi gà
				61222	Lao động chăn nuôi vịt, ngan, ngỗng
				61229	Lao động chăn nuôi gia cầm khác
			6123		Lao động nuôi ong và nuôi tằm
				61231	Lao động nuôi ong
				61232	Lao động nuôi tằm
			6129	61290	Lao động chăn nuôi chưa được phân vào đâu
		613	6130	61300	Lao động trồng trọt và chăn nuôi hỗn hợp
	62				Lao động có kỹ năng trong lâm nghiệp, thủy sản và săn bắn có sản phẩm chủ yếu để bán
		621	6210		Lao động trong lâm nghiệp và lĩnh vực có liên quan
				62101	Lao động ươm giống cây lâm nghiệp
				62102	Lao động trồng rừng và chăm sóc rừng lấy gỗ
				62103	Lao động trồng rừng và chăm sóc rừng tre, nứa
				62109	Lao động trong lâm nghiệp và lĩnh vực có liên quan khác
 		622			Lao động thủy sản, săn bắn và đánh bẫy
			6221		Lao động nuôi trồng thủy sản
				62211	Lao động nuôi cá
				62212	Lao động nuôi tôm
				62219	Lao động nuôi trồng thủy sản khác
			6222		Lao động khai thác thủy sản trong nội địa
				62221	Lao động khai thác cá trong nội địa
				62229	Lao động khai thác thủy sản khác trong nội địa
			6223		Lao động khai thác thủy sản trong vùng biển Việt Nam
				62231	Lao động khai thác cá trong vùng biển Việt Nam
				62239	Lao động khai thác thủy sản khác trong vùng biển Việt Nam
			6224	62240	Lao động săn bắn, đánh bẫy
	63				Lao động tự cung tự cấp trong nông nghiệp, lâm nghiệp và thủy sản
		631	6310	63100	Lao động trồng trọt tự cung tự cấp
		632	6320	63200	Lao động chăn nuôi gia súc tự cung tự cấp
		633	6330	63300	Lao động trồng trọt và chăn nuôi hỗn hợp tự cung tự cấp
		634	6340	63400	Lao động đánh cá, săn bắn, đánh bẫy và thu hái tự cung tự cấp
7					Lao động thủ công và các nghề có liên quan khác
	71				Lao động xây dựng và lao động có liên quan đến nghề xây dựng (trừ thợ điện)
		711			Thợ xây dựng khung nhà và thợ khác có liên quan
			7111	71110	Thợ xây nhà
			7112	71120	Thợ nề và các thợ có liên quan
			7113		Thợ xây nhà bằng đá, thợ cắt đá, thợ tách đá và thợ khắc đá
				71131	Thợ đẽo đá/thợ khắc đá
				71132	Thợ xây nhà bằng đá
			7114		Thợ đổ bê tông và các thợ có liên quan
				71141	Thợ đổ bê tông cốt thép (chung)
				71142	Thợ bê tông
				71149	Thợ bê tông khác, thợ hoàn thiện bê tông và thợ liên quan khác
			7115	71150	Thợ mộc và thợ làm đồ gỗ
			7119		Thợ xây dựng khung nhà và thợ khác có liên quan chưa được phân vào đâu
				71191	Thợ giàn giáo
				71192	Thợ phá dỡ
				71193	Thợ ốp tường
				71199	Thợ xây khác và thợ có liên quan chưa được phân vào đâu
		712			Thợ hoàn thiện công trình và thợ có liên quan
			7121	71210	Thợ lợp mái
			7122	71220	Thợ lát sàn và thợ lát đá
			7123	71230	Thợ thạch cao
			7124		Thợ lắp đặt vật liệu cách âm, cách nhiệt
				71241	Thợ lắp đặt cách điện xây dựng
				71242	Thợ nồi hơi/thợ ống cách điện
				71243	Thợ lắp đặt cách điện thiết bị điều hòa không khí
				71244	Thợ lắp đặt vật liệu chịu lửa
				71249	Thợ lắp đặt vật liệu cách âm, cách nhiệt khác
			7125	71250	Thợ lắp kính
			7126	71260	Thợ ống nước
			7127	71270	Thợ cơ khí thiết bị điều hòa không khí và làm lạnh
		713			Thợ sơn, người lau dọn tòa nhà và lao động có liên quan
			7131		Thợ sơn và thợ liên quan khác
				71311	Thợ sơn
				71312	Thợ dán giấy dán tường/trần
			7132		Thợ phun sơn và thợ đánh véc ni
				71321	Thợ sơn kết cấu thép/sơn tàu
				71322	Thợ phun sơn xe cơ giới
				71323	Thợ vẽ bảng hiệu
				71324	Thợ phun sơn (trừ tàu, xe cơ giới và biển báo)
				71329	Thợ sơn khác và thợ có liên quan
			7133	71330	Người lau dọn tòa nhà
	72				Thợ luyện kim, cơ khí và thợ có liên quan
		721			Thợ luyện kim loại, thợ đúc, thợ hàn và thợ có liên quan
			7211	72110	Thợ tạo khuôn và lõi kim loại
			7212		Thợ hàn và thợ cắt kim loại bằng nhiệt
				72121	Thợ hàn
				72122	Thợ cắt kim loại bằng nhiệt
			7213	72130	Thợ luyện kim loại
			7214	72140	Thợ chuẩn bị và lắp ráp các cấu kiện kim loại
			7215	72150	Thợ lắp ráp và thợ nối cáp
		722			Thợ rèn, thợ chế tạo các dụng cụ và thợ có liên quan
			7221	72210	Thợ rèn, thợ quai búa và thợ rèn ép nén kim loại
			7222	72220	Thợ chế tạo dụng cụ và thợ có liên quan
			7223	72230	Thợ lắp ráp và vận hành máy công cụ kim loại
			7224	72240	Thợ đánh bóng, thợ mài kim loại và dụng cụ kim loại
		723			Thợ cơ khí và sửa chữa máy móc
			7231		Thợ cơ khí và sửa chữa xe có động cơ
				72311	Thợ cơ khí xe có động cơ
				72312	Thợ sửa chữa xe có động cơ
			7232		Thợ cơ khí và sửa chữa động cơ máy bay
				72321	Thợ cơ khí máy bay
				72322	Thợ sửa chữa động cơ máy bay
			7233		Thợ cơ khí và sửa chữa máy móc nông nghiệp và công nghiệp
				72331	Thợ cơ khí máy móc (chung)
				72332	Thợ sửa chữa máy móc (chung)
				72333	Thợ cơ khí máy móc công nghiệp/máy văn phòng
				72334	Thợ sửa chữa động cơ biển
				72335	Thợ lắp đặt máy móc, thiết bị
				72339	Thợ cơ khí và sửa chữa máy móc khác (như thợ cơ khí máy móc nông nghiệp)
			7234	72340	Thợ sửa chữa xe đạp và thợ có liên quan
	73				Thợ thủ công và thợ liên quan đến in
		731			Thợ thủ công
			7311	73110	Thợ sản xuất và sửa chữa dụng cụ chính xác
			7312	73120	Thợ sản xuất và điều chỉnh nhạc cụ
			7313		Thợ kim hoàn
				73131	Thợ kim hoàn (nói chung)
				73132	Thợ cắt và đánh bóng đá quý
				73133	Thợ vàng/thợ bạc
				73134	Thợ khắc kim hoàn
				73139	Thợ kim hoàn khác
			7314		Thợ gốm và thợ có liên quan
				73141	Thợ gốm
				73142	Thợ gạch ngói
				73149	Thợ gốm và thợ có liên quan khác
			7315	73150	Thợ sản xuất, thợ cắt, thợ mài và thợ hoàn thiện đồ thủy tinh
			7316		Thợ vẽ biển quảng cáo, thợ trang trí, thợ khắc và thợ khắc axit
				73161	Thợ khắc thủy tinh/thợ khắc axit
				73162	Thợ vẽ/thợ trang trí thủy tinh và gốm
				73169	Thợ vẽ biển quảng cáo, thợ trang trí, thợ khắc và thợ khắc axit khác
			7317	73170	Thợ thủ công sản xuất đồ gỗ, rổ rá và các nguyên liệu có liên quan
			7318	73180	Thợ thủ công dệt vải, da và các nguyên liệu có liên quan
			7319	73190	Thợ thủ công khác chưa được phân vào đâu
		732			Thợ liên quan đến in
			7321	73210	Thợ thực hiện công đoạn trước in
			7322		Thợ in
				73221	Thợ in offset, in lõm, in cao, in lưới và in kỹ thuật số
				73229	Thợ in khác
			7323	73230	Thợ hoàn thiện sản phẩm in
	74				Thợ điện và thợ điện tử
		741			Thợ lắp đặt và sửa chữa thiết bị điện
			7411	74110	Thợ lắp điện cho tòa nhà và thợ điện có liên quan
			7412		Thợ lắp ráp và thợ cơ khí điện
				74121	Thợ lắp ráp điện (chung)
				74122	Thợ lắp ráp điện thang máy, thang cuốn và các thiết bị liên quan
				74123	Thợ sửa chữa điện gia dụng
				74129	Thợ lắp ráp và thợ cơ khí điện khác
			7413		Thợ lắp đặt và sửa chữa đường dây điện
				74131	Thợ lắp đặt đường dây điện
				74132	Thợ ghép cáp điện
				74139	Thợ lắp đặt và sửa chữa đường dây điện khác
		742			Thợ lắp đặt và thợ sửa chữa điện tử viễn thông
			7421		Thợ cơ khí và thợ dịch vụ điện tử
				74211	Thợ lắp đặt thiết bị điện tử (chung)
				74212	Thợ cơ khí thiết bị video và âm thanh
				74219	Thợ lắp đặt thiết bị điện tử khác
			7422		Thợ lắp đặt và dịch vụ kỹ thuật thông tin và truyền thông
				74221	Thợ lắp đặt phát sóng rada, phát thanh truyền hình/thiết bị truyền dẫn
				74222	Thợ lắp đặt và sửa chữa máy tính và thiết bị điện tử liên quan
				74223	Thợ kéo dây cáp viễn thông
				74224	Thợ cài đặt viễn thông/dịch vụ viễn thông
	75				Thợ chế biến thực phẩm, gia công gỗ, may mặc, đồ thủ công và thợ có liên quan khác
		751			Thợ chế biến thực phẩm và các thợ khác có liên quan
			7511		Thợ giết, mổ, chuẩn bị thịt, cá và thực phẩm khác có liên quan
				75111	Thợ giết mổ
				75119	Thợ giết mổ, chuẩn bị thịt, cá và thực phẩm khác có liên quan
			7512		Thợ nướng bánh, thợ làm bánh ngọt và bánh kẹo
				75121	Thợ làm bánh (chung)
				75122	Thợ làm bánh mỳ
				75123	Thợ làm bánh ngọt và bánh kẹo
			7513	75130	Thợ làm sản phẩm từ sữa
			7514	75140	Thợ bảo quản rau, hoa quả tươi và các thứ có liên quan
			7515		Thợ nếm và phân loại đồ uống, thực phẩm
				75151	Thợ nếm cà phê và trà
				75159	Thợ nếm và phân loại đồ uống, thực phẩm khác
			7516	75160	Thợ sản xuất và chuẩn bị thuốc lá
		752			Thợ xử lý gỗ, thợ sản xuất đồ gỗ và các thợ có liên quan
			7521		Thợ xử lý gỗ
				75211	Thợ lò sấy
				75212	Thợ xử lý gỗ
				75219	Thợ xử lý gỗ khác
			7522		Thợ sản xuất làm đồ gỗ và các thợ có liên quan
				75221	Thợ sản xuất đồ nội thất
				75222	Thợ hoàn thiện đồ gỗ
				75223	Thợ sản xuất khung hình
				75229	Thợ sản xuất đồ gỗ và các thợ có liên quan khác
			7523	75230	Thợ lắp đặt và vận hành máy công cụ chế biến gỗ
		753			Thợ may mặc và các thợ có liên quan
			7531	75310	Thợ may, thợ làm da thú và thợ làm mũ
			7532		Thợ tạo mẫu và cắt quần áo và các thợ có liên quan
				75321	Thợ tạo mẫu
				75322	Thợ cắt
				75329	Thợ tạo và cắt mẫu áo quần và các mẫu có liên quan khác
			7533	75330	Thợ khâu vá, thợ thêu và các thợ có liên quan
			7534	75340	Thợ làm nghề bọc đồ đạc và các thợ có liên quan
			7535	75350	Thợ thuộc da sống, thợ nhuộm và thợ chuyên lột da, lông thú
			7536		Thợ đóng giày và các thợ có liên quan
				75361	Thợ đóng giày
				75362	Thợ sản xuất giày chỉnh hình
				75363	Thợ vá giày
				75364	Thợ sản xuất/lắp ráp hàng da
				75369	Thợ đóng giày và các thợ có liên quan khác
		754			Thợ thủ công khác và các thợ có liên quan
			7541	75410	Thợ lặn
			7542	75420	Thợ giật mìn phá đá
			7543	75430	Thợ phân loại và kiểm tra sản phẩm (trừ thực phẩm và đồ uống)
			7544	75440	Thợ hun khói và thợ kiểm soát thực vật, động vật có hại khác
			7549	75490	Thợ thủ công và các thợ khác chưa được phân vào đâu
8					Thợ lắp ráp và vận hành máy móc, thiết bị
	81				Thợ vận hành máy móc và thiết bị
		811			Thợ vận hành máy móc, thiết bị xử lý khai khoáng
			8111	81110	Thợ khai thác mỏ và đá
			8112	81120	Thợ vận hành thiết bị chế biến khoáng sản và đá
			8113		Thợ khoan, đào giếng và các thợ có liên quan
				81131	Thợ khoan giếng (giếng dầu khí)
				81132	Thợ khoan giếng (trừ giếng dầu khí)
				81133	Thợ vận hành máy khoan sâu
				81139	Thợ khoan, đào giếng và các thợ có liên quan khác
			8114		Thợ vận hành máy sản xuất xi măng, đá và khoáng khác
				81141	Thợ vận hành máy sản xuất sản phẩm bê tông đúc sẵn
				81142	Thợ vận hành máy sản xuất xi măng amiăng
				81143	Thợ vận hành máy làm gạch đất nung, ngói
				81144	Thợ vận hành máy trộn bê tông
				81145	Thợ vận hành bơm bê tông
				81149	Thợ vận hành máy chế biến và các sản phẩm khoáng sản khác
		812			Thợ vận hành thiết bị xử lý và hoàn thiện kim loại
			8121	81210	Thợ vận hành thiết bị xử lý kim loại
			8122	81220	Thợ vận hành máy hoàn thiện, tráng, mạ kim loại
		813			Thợ vận hành máy móc, thiết bị sản xuất hóa học và sản xuất sản phẩm phim ảnh
			8131		Thợ vận hành máy và thiết bị sản xuất hóa chất
				81311	Thợ vận hành thiết bị nghiền/trộn hóa chất
				81312	Thợ vận hành máy xử lý nhiệt hóa học
				81313	Thợ vận hành máy lọc và tách hóa chất
				81314	Thợ vận hành hóa chất tĩnh/lò phản ứng
				81315	Thợ vận hành máy sợi tổng hợp
				81319	Thợ vận hành máy và thiết bị sản xuất hóa học khác
			8132	81320	Thợ vận hành máy sản xuất sản phẩm phim ảnh
		814			Thợ vận hành máy sản xuất sản phẩm giấy, nhựa và cao su
			8141		Thợ vận hành máy sản xuất sản phẩm cao su
				81411	Thợ vận hành máy phay cao su
				81412	Thợ vận hành máy cán cao su
				81419	Thợ vận hành máy sản xuất sản phẩm cao su khác
			8142	81420	Thợ vận hành máy sản xuất sản phẩm nhựa
			8143		Thợ vận hành máy sản xuất sản phẩm từ giấy và thùng catong
				81431	Thợ vận hành máy làm thùng catong/hộp giấy
				81432	Thợ vận hành máy sản xuất sản phẩm giấy
				81439	Thợ vận hành máy sản xuất sản phẩm giấy và thùng catong khác
		815			Thợ vận hành máy sản xuất nguyên liệu dệt, da lông thú và da thuộc
			8151		Thợ vận hành máy xe sợi, kéo sợi và cuộn sợi
				81511	Thợ vận hành máy xe chỉ (chỉ và sợi)
				81512	Thợ vận hành máy cuộn chỉ (chỉ và sợi)
			8152		Thợ vận hành máy dệt kim, máy đan
				81521	Thợ vận hành máy dệt
				81522	Thợ vận hành máy đan
			8153		Thợ vận hành máy may
				81531	Thợ vận hành máy may
				81532	Thợ vận hành máy thêu
			8154		Thợ vận hành máy tẩy trắng, máy nhuộm và làm sạch sợi
				81541	Thợ vận hành máy tẩy trắng
				81542	Thợ vận hành máy nhuộm
				81543	Thợ vận hành máy làm sạch sợi
				81549	Thợ vận hành máy tẩy trắng, máy nhuộm và làm sạch sợi khác
			8155	81550	Thợ vận hành máy chuẩn bị da, lông thú
			8156	81560	Thợ vận hành máy đóng giầy, dép và các thợ có liên quan
			8157	81570	Thợ vận hành máy giặt là
			8159	81590	Thợ vận hành máy sản xuất nguyên liệu dệt, da lông thú và da thuộc chưa được phân vào đâu
		816	8160		Thợ vận hành máy sản xuất thực phẩm và các thợ có liên quan
				81601	Thợ vận hành máy sản xuất các sản phẩm từ thịt và cá
				81602	Thợ vận hành máy sản xuất sữa và bánh kẹo
				81603	Thợ vận hành máy xay ngũ cốc và gia vị
				81604	Thợ vận hành máy nướng và các sản phẩm từ ngũ cốc
				81605	Thợ vận hành máy sản xuất các sản phẩm từ trái cây, rau quả
				81606	Thợ vận hành máy chế biến và tinh chế đường
				81607	Thợ vận hành máy sản xuất bia, rượu và nước giải khát khác
				81608	Thợ vận hành máy sản xuất thuốc lá
				81609	Thợ vận hành máy sản xuất thực phẩm và các thợ có liên quan chưa được phân vào đâu
		817			Thợ vận hành thiết bị chế biến gỗ và sản xuất giấy
			8171		Thợ vận hành máy nghiền bột giấy và làm giấy
				81711	Thợ vận hành thiết bị chế tạo bột giấy
				81712	Thợ vận hành thiết bị chế tạo giấy
				81719	Thợ vận hành thiết bị chế tạo bột giấy và giấy
			8172		Thợ vận hành máy chế biến gỗ
				81721	Thợ cưa
				81722	Thợ vận hành máy cắt
				81723	Thợ sơn lõi ván ép
				81724	Thợ vận hành máy ép ván ép
				81725	Thợ phân loại gỗ
				81726	Thợ vận hành máy chế biến gỗ
				81727	Thợ vận hành máy cưa gỗ chính xác
				81729	Thợ vận hành thiết bị chế biến gỗ khác
		818			Thợ vận hành máy móc thiết bị khác
			8181		Thợ vận hành thiết bị sản xuất thủy tinh và gốm
				81811	Thợ vận hành lò nung thủy tinh/gốm
				81812	Thợ sản xuất sợi thủy tinh
				81819	Thợ vận hành thiết bị sản xuất thủy tinh và gốm
			8182		Thợ vận hành động cơ hơi nước và nồi hơi
				81821	Thợ vận hành động cơ hơi nước
				81822	Thợ đốt lò
				81829	Thợ vận hành động cơ hơi nước và nồi hơi khác
			8183	81830	Thợ vận hành thiết bị đóng gói, đóng chai và dán nhãn
			8189		Thợ vận hành máy móc, thiết bị khác chưa được phân vào đâu
				81891	Thợ vận hành máy in, máy đóng sách và máy có liên quan
				81892	Thợ vận hành máy cắt dây cáp và dây tải điện
				81893	Thợ vận hành máy sản xuất con chip silicon
				81894	Thợ vận hành dây chuyền lắp ráp tự động và vận hành rô bốt công nghiệp
				81899	Thợ vận hành thiết bị khác chưa được phân vào đâu
	82	820			Thợ lắp ráp
			8201	82010	Thợ lắp ráp máy cơ khí
			8202		Thợ lắp ráp thiết bị điện và điện tử
				82021	Thợ lắp ráp thiết bị điện/linh kiện điện
				82022	Thợ lắp ráp thiết bị điện tử/linh kiện điện tử
				82023	Thợ lắp ráp pin
			8209		Thợ lắp ráp chưa được phân vào đâu
				82091	Thợ lắp ráp đồ chơi
				82099	Thợ lắp ráp khác chưa được phân vào đâu (lắp ráp sản phẩm nhựa, lắp ráp sản phẩm cao su)
	83				Lái xe và thợ vận hành thiết bị chuyển động
		831			Lái các phương tiện vận chuyển trên đường ray và các công nhân có liên quan
			8311	83110	Lái các phương tiện vận chuyển trên đường ray
			8312		Nhân viên điều khiển tín hiệu, bẻ ghi và chuyển hướng tàu hỏa
				83121	Nhân viên điều khiển tín hiệu, bẻ ghi và chuyển hướng tàu hỏa
				83129	Nhân viên đường sắt khác và nhân viên có liên quan
		832			Lái xe con, xe tải và xe máy
			8321		Lái xe máy
				83211	Người chở người, chở hàng bằng xe máy (không phải là thư)
				83212	Người chở người, chở hàng bằng xe máy sử dụng các thiết bị di động cá nhân (lái xe máy công nghệ)
			8322		Lái xe con, taxi và xe tải hạng nhẹ
				83221	Lái xe taxi
				83222	Lái xe con
				83223	Lái xe tải hạng nhẹ
				83224	Lái xe cứu thương
				83225	Người trông bãi đỗ xe
				83229	Lái xe con và xe hạng nhẹ khác
		833			Lái xe tải hạng vừa, hạng nặng, xe buýt và xe điện
			8331		Lái xe buýt và xe điện
				83311	Lái xe buýt
				83312	Lái xe điện
			8332		Lái xe tải hạng vừa và xe tải hạng nặng
				83321	Lái xe tải hạng nặng
				83322	Lái xe tải rơ móoc (bao gồm cả lái xe chính)
				83323	Lái xe cứu hỏa
				83324	Lái thiết bị di động sân bay
				83325	Lái xe tải trộn bê tông
